Frame,Bone Name,Quaternion W,Quaternion X,Quaternion Y,Quaternion Z
0,0,0.999481857,0.006088424,0.006067465,0.031021059
1,0,0.787148416,0.383368373,0.453416109,-0.166853994
2,0,0.990991294,0.086012743,-0.019578852,-0.100771569
3,0,0.994490802,0.024600921,-0.024535818,0.098898955
4,0,0.99642688,0.051614184,0.046844479,-0.047703989
5,0,0.93443644,0.30290398,0.018551216,-0.18637073
6,0,0.998460829,0.015639419,0.022805678,0.04807616
7,0,0.99653703,0.009446,0.001,0.082607001
8,0,0.968621194,0.097867191,0.097570762,-0.206580818
9,0,0.996366799,0.072896071,-0.034804054,-0.026989933
10,0,0.991709411,0.076966941,-0.102364384,-0.069715619
11,0,0.981790006,0.118590526,-0.121020027,0.085901126
12,0,0.997809291,-0.04319017,0.049865801,0.004970487
13,0,0.969840705,0.066175774,-0.111138374,-0.206587628
14,0,0.826074839,0.444358945,0.331027567,-0.102797873
15,0,0.999470592,0.006387427,0.011452572,0.029775299
16,0,0.997655153,-0.043394506,0.01635379,0.050336082
17,0,0.990340829,-0.061901353,0.088733599,-0.086716138
18,0,0.998599291,0.021941997,0.029380759,0.038142141
0,1,0.999333322,-0.002684049,0.000144154,-0.036412902
1,1,0.991886377,0.078866616,0.099571362,-0.00521554
2,1,0.820585907,0.162748933,-0.086596973,-0.54097414
3,1,0.985142946,0.098232813,0.01883355,0.139602959
4,1,0.864938676,-0.116474167,0.110729232,-0.47545141
5,1,0.869803011,-0.196402848,0.451024145,-0.038031422
6,1,0.983577788,0.017525036,0.071536846,0.16477327
7,1,0.987228751,-0.061441682,-0.097243719,0.110217072
8,1,0.815346658,0.003340057,-0.28980273,-0.501211882
9,1,0.81513238,0.15069668,-0.08624085,-0.552641928
10,1,0.81490308,0.066976555,0.06886825,-0.571580648
11,1,0.992723644,0.067050345,0.035278898,-0.093593992
12,1,0.859636009,-0.002009269,-0.066809386,-0.506516039
13,1,0.870627761,0.012803594,-0.080817051,-0.485089749
14,1,0.960947037,-0.166364059,0.073121279,-0.20870313
15,1,0.979689896,0.007204902,0.061558228,0.190699995
16,1,0.9535501,0.027472671,0.082435727,0.288430065
17,1,0.8424505,0.001763614,-0.029443247,-0.537966013
18,1,0.981009066,0.034084652,0.114572458,0.152750134
0,2,0.980418026,0.190990299,-0.013809047,0.045966476
1,2,0.966723084,-0.126692832,0.184521303,0.123885289
2,2,0.999460995,-0.03128925,0.002280684,0.009672456
3,2,0.995081604,-0.042053748,0.087466814,0.019850455
4,2,0.693831682,0.716452658,-0.016454987,-0.070870474
